quarter,year,ID,collectors,date,day_no,x,y,trap_malfunction,trap_malfunction_reason,animal,recap,tag_id,genus,species,total_weight,bag_weight,animal_weight,life_stage,reproduction,sex,body_length,tail_length,tuft_length,foot_length,ear_length,ticks_total,ticks_yn,ticks_adult,ticks_larvae,hair,fecal,torn_ear,escaped,tissue,comments
summer,2012,2012-C,"J. Smith, C. Newcomb, B. Blessing, J. Scolaso",6-Sep-12,1,80,20,NA,NA,Y,Y,23,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2015,2015-B,Tony K & Tina C,18-May-15,3,120,20,NA,NA,Y,N,23,Peromyscus,truei,28,NA,NA,NA,NA,F,NA,104,NA,22,20,NA,NA,NA,NA,NA,NA,Y,NA,NA,Y; OLD TAG RIPPED OTHER EAR
NA,2015,2015-B,Maya & Alex,17-Jul-15,2,80,20,NA,NA,Y,N,23,Peromyscus,truei,NA,NA,22,NA,NA,F,NA,110,NA,22,14,NA,NA,NA,NA,NA,NA,Y,NA,NA,Y; *(WEIGHT ON DATA SHEET) NOT INCLUDING BAG WEIGHT)
winter,2012,2012-A,NA,6-Mar-12,1,100,20,NA,NA,Y,Y,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2012,2012-A,Chris,7-Mar-12,2,100,20,NA,NA,Y,Y,24,Peromyscus,truei,22,NA,NA,NA,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2012,2012-A,NA,8-Mar-12,3,100,20,NA,NA,Y,Y,24,Peromyscus,truei,22,NA,NA,NA,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2014,2014-D,Chatherine & Christian,16-Nov-14,3,160,100,NA,NA,Y,Y,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2015,2015-D,"Vanessa, Jessica, Savannah",7-Nov-15,1,60,260,NA,NA,Y,Y,25,Peromyscus,NA,57,9,48,adult,NA,F,84,147,NA,28,17,0,N,0,0,NA,NA,NA,NA,NA,Y; NIPPLES? ADULT?
fall,2011,2011-D,NA,9-Nov-11,3,120,20,NA,NA,Y,N,25,NA,NA,25,NA,NA,NA,NA,F,NA,80,NA,21,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; TOOK FROM 140-20; SET NEW TRAP (WASN'T ON THERE); JUVEILE?
spring,2012,2012-B,"Chris, Quin, Tyler",28-May-12,1,40,20,NA,NA,Y,Y,25,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
