quarter,year,ID,collectors,date,day_no,x,y,trap_malfunction,trap_malfunction_reason,animal,recap,tag_id,genus,species,total_weight,bag_weight,animal_weight,life_stage,reproduction,sex,body_length,tail_length,tuft_length,foot_length,ear_length,ticks_total,ticks_yn,ticks_adult,ticks_larvae,hair,fecal,torn_ear,escaped,tissue,comments,dead,no_tag,no_tag_reason,tag_no,tag_no_new,tag_prefix,tag_id_new,date_dist,trap_dist,FE_startdate,FE_datediff,date_dist_no,tag_prefix_new,FEtag_change,new_tag,n,tag_group,tag_no_prefix,tag_id_change
summer,2012,2012-C,"Rachel, Meredith, Soren",2012-09-08,3,20,20,NA,NA,y,n,20,Peromyscus,californicus,NA,NA,40,NA,NA,NA,NA,140,NA,26,22,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0020,20,NA,0020,1,188.67962264113208,2018-11-17,-2261,1,NA,NA,n,NA,1,0,n
winter,2012,2012-A,NA,2012-03-05,1,180,280,NA,NA,y,n,21,Peromyscus,truei,NA,NA,25,adult,NA,F,NA,100,NA,23,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA SHEET,NA,NA,NA,0021,21,NA,0021,NA,NA,2018-11-17,-2448,NA,NA,NA,y,1,1,0,n
spring,2015,2015-B,Tony K & Tina C,2015-05-18,3,180,20,NA,NA,y,NA,22,Peromyscus,truei,NA,NA,27,NA,NA,M,NA,111,NA,22,18,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,0022,22,NA,0022,NA,NA,2018-11-17,-1279,1085,NA,NA,y,2,2,0,n
spring,2015,2015-B,Maya & Alex,2015-05-17,1,80,20,NA,NA,y,n,23,Peromyscus,truei,NA,NA,22,NA,NA,F,NA,110,NA,22,14,NA,NA,NA,NA,NA,NA,Y,NA,NA,Y; *(WEIGHT ON DATA SHEET) NOT INCLUDING BAG WEIGHT),NA,NA,NA,0023,23,NA,0023,NA,NA,2018-11-17,-1280,981,NA,NA,y,3,3,0,n
spring,2015,2015-B,Tony K & Tina C,2015-05-18,3,120,20,NA,NA,y,n,23,Peromyscus,truei,NA,NA,NA,NA,NA,F,NA,104,NA,22,20,NA,NA,NA,NA,NA,NA,Y,NA,NA,Y; OLD TAG RIPPED OTHER EAR,NA,NA,NA,0023,23,NA,0023,1,40,2018-11-17,-1279,1,NA,NA,n,NA,3,0,n
winter,2012,2012-A,NA,2012-03-05,1,100,20,NA,NA,y,n,24,Peromyscus,truei,NA,NA,30,adult,NA,M,NA,95,NA,25,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA SHEET,NA,NA,NA,0024,24,NA,0024,NA,NA,2018-11-17,-2448,NA,NA,NA,n,NA,3,0,n
winter,2012,2012-A,NA,2012-03-06,2,100,20,NA,NA,y,y,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0024,24,NA,0024,1,0,2018-11-17,-2447,1,NA,NA,n,NA,3,0,n
winter,2012,2012-A,Chris,2012-03-07,3,100,20,NA,NA,y,y,24,Peromyscus,truei,NA,NA,NA,NA,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0024,24,NA,0024,1,0,2018-11-17,-2446,1,NA,NA,n,NA,3,0,n
winter,2012,2012-A,NA,2012-03-08,4,100,20,NA,NA,y,y,24,Peromyscus,truei,NA,NA,NA,NA,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0024,24,NA,0024,1,0,2018-11-17,-2445,1,NA,NA,n,NA,3,0,n
fall,2014,2014-D,Chatherine & Christian,2014-11-16,3,160,100,NA,NA,y,y,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0024,24,NA,0024,983,100,2018-11-17,-1462,983,NA,NA,y,1,1,0,n
fall,2011,2011-D,NA,2011-11-09,3,120,20,NA,NA,y,n,25,NA,NA,NA,NA,NA,NA,NA,F,NA,80,NA,21,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; TOOK FROM 140-20; SET NEW TRAP (WASN'T ON THERE); JUVEILE?,NA,NA,NA,0025,25,NA,0025,NA,NA,2018-11-17,-2565,NA,NA,NA,n,NA,1,0,n
winter,2012,2012-A,NA,2012-03-06,2,60,20,NA,NA,y,y,25,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0025,25,NA,0025,118,60,2018-11-17,-2447,118,NA,NA,n,NA,1,0,n
spring,2012,2012-B,"Chris, Quin, Tyler",2012-05-28,1,40,20,NA,NA,y,y,25,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0025,25,NA,0025,83,20,2018-11-17,-2364,83,NA,NA,n,NA,1,0,n
spring,2012,2012-B,NA,2012-05-30,3,60,20,NA,NA,y,y,25,Peromyscus,truei,NA,NA,12,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0025,25,NA,0025,2,20,2018-11-17,-2362,2,NA,NA,n,NA,1,0,n
fall,2015,2015-D,"JAS, & N.N",2015-11-10,3,60,280,NA,NA,y,y,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0025,25,NA,0025,1259,260,2018-11-17,-1103,2,NA,NA,y,3,3,0,n
spring,2009,2009-B,NA,2009-04-29,1,100,160,NA,NA,y,n,1026,Peromyscus,truei,NA,NA,26,adult,NA,F,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,recapture from March,NA,NA,NA,1026,26,NA,0026,NA,NA,2018-11-17,-3489,NA,NA,NA,n,NA,3,0,y
