quarter,year,ID,collectors,date,day_no,x,y,trap_malfunction,trap_malfunction_reason,animal,recap,tag_id_old,tag_id,genus,species,total_weight,bag_weight,animal_weight,life_stage,reproduction,sex,body_length,tail_length,tuft_length,foot_length,ear_length,ticks_total,ticks_yn,ticks_adult,ticks_larvae,hair,fecal,torn_ear,escaped,tissue,comments
spring,2012,2012-B,Tyler,5/30/12,3,20,80,NA,NA,Y,Y,16,16,NA,NA,40,NA,NA,NA,NA,M,NA,90,NA,18,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Quin,5/28/12,1,180,240,NA,NA,Y,Y,17,17,Peromyscus,truei,32,NA,NA,NA,NA,M,NA,95,NA,20,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Sam,5/30/12,3,180,240,NA,NA,Y,Y,17,17,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,Chris Lay & Alex Jones,9/7/12,2,120,180,NA,NA,Y,N,18,18,Peromyscus,truei,22,8,14,NA,NA,F,NA,83,NA,22,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2012,2012-D,"V. Williams, J. Johnson, J. Smith",11/12/12,3,60,260,NA,NA,Y,Y,18,18,Peromyscus,truei,20,NA,NA,NA,NA,M,NA,92,NA,22,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; DEAD
spring,2012,2012-B,Tyler,5/30/12,3,40,140,NA,NA,Y,Y,19,19,NA,NA,35,NA,NA,NA,NA,M,NA,90,NA,18,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,J. Smith,9/7/12,2,180,120,NA,NA,Y,Y,20,70,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,"Rachel, Meredith, Soren",9/8/12,3,20,20,NA,NA,Y,N,20,20,Peromyscus,californicus,50,10,40,NA,NA,NA,NA,140,NA,26,22,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA
winter,2012,2012-A,NA,3/5/12,1,180,280,NA,NA,Y,N,21,21,Peromyscus,boylii,25,NA,25,adult,NA,F,NA,100,NA,23,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA SHEET
fall,2010,2010-D,Eli & Brendon,11/6/10,3,120,100,NA,NA,Y,Y,22,1022,Peromyscus,californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Quin,5/28/12,1,20,20,NA,NA,Y,N,22,2022,Peromyscus,truei,15,NA,NA,NA,NA,M,NA,90,NA,23,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2015,2015-B,Tony K & Tina C,5/18/15,3,180,20,NA,NA,Y,NA,22,22,Peromyscus,truei,36,9,27,NA,NA,M,NA,111,NA,22,18,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA
spring,2009,2009-B,NA,4/29/09,1,40,120,NA,NA,Y,N,1023,1023,Peromyscus,californicus,NA,NA,46,adult,NA,F,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA
spring,2009,2009-B,NA,4/30/09,2,20,140,NA,NA,Y,Y,1023,1023,Peromyscus,californicus,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA
spring,2009,2009-B,NA,5/1/09,3,40,140,NA,NA,Y,Y,1023,1023,Peromyscus,californicus,NA,NA,50,adult,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA
summer,2009,2009-C,NA,7/29/09,1,20,140,NA,NA,Y,Y,1023,1023,Peromyscus,californicus,NA,NA,49,adult,NA,F,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA
summer,2009,2009-C,NA,7/30/09,2,40,120,NA,NA,Y,Y,1023,1023,Peromyscus,californicus,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA
summer,2009,2009-C,NA,7/31/09,3,40,140,NA,NA,Y,Y,1023,1023,Peromyscus,californicus,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Quin,5/28/12,1,60,20,NA,NA,Y,Y,23,2023,Peromyscus,truei,30,NA,NA,NA,NA,M,NA,70,NA,20,15,NA,NA,NA,NA,NA,NA,Y,NA,NA,Y; TAG RIPPED OUT
spring,2012,2012-B,Chris & Quin,5/29/12,2,60,20,NA,NA,Y,Y,23,2023,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,"J. Smith, C. Newcomb, B. Blessing, J. Scolaso",9/6/12,1,80,20,NA,NA,Y,Y,23,2023,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,"Rachel, Meredith, Soren",9/8/12,3,40,20,NA,NA,Y,Y,23,2023,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2015,2015-B,Tony K & Tina C,5/18/15,3,120,20,NA,NA,Y,N,23,23,Peromyscus,truei,28,NA,NA,NA,NA,F,NA,104,NA,22,20,NA,NA,NA,NA,NA,NA,Y,NA,NA,Y; OLD TAG RIPPED OTHER EAR
NA,2015,2015-B,Maya & Alex,7/17/15,2,80,20,NA,NA,Y,N,23,23,Peromyscus,truei,NA,NA,22,NA,NA,F,NA,110,NA,22,14,NA,NA,NA,NA,NA,NA,Y,NA,NA,Y; *(WEIGHT ON DATA SHEET) NOT INCLUDING BAG WEIGHT)
winter,2012,2012-A,NA,3/5/12,1,100,20,NA,NA,Y,N,24,1024,Peromyscus,boylii,30,NA,30,adult,NA,M,NA,95,NA,25,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA SHEET
winter,2012,2012-A,NA,3/6/12,1,100,20,NA,NA,Y,Y,24,1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2012,2012-A,Chris,3/7/12,2,100,20,NA,NA,Y,Y,24,1024,Peromyscus,truei,22,NA,NA,NA,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2012,2012-A,NA,3/8/12,3,100,20,NA,NA,Y,Y,24,1024,Peromyscus,truei,22,NA,NA,NA,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2014,2014-D,Chatherine & Christian,11/16/14,3,160,100,NA,NA,Y,Y,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2011,2011-D,NA,11/9/11,3,120,20,NA,NA,Y,N,25,1025,NA,NA,25,NA,NA,NA,NA,F,NA,80,NA,21,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; TOOK FROM 140-20; SET NEW TRAP (WASN'T ON THERE); JUVEILE?
winter,2012,2012-A,NA,3/6/12,1,60,20,NA,NA,Y,Y,25,1025,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,"Chris, Quin, Tyler",5/28/12,1,40,20,NA,NA,Y,Y,25,1025,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,NA,5/30/12,3,60,20,NA,NA,Y,Y,25,1025,Peromyscus,truei,22,10,12,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2015,2015-B,"Maya, Alex, & Tony",5/16/15,1,40,280,NA,NA,Y,N,25,25,Peromyscus,californicus,55,10,45,NA,NA,M,NA,151,NA,27,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2015,2015-B,Jordan & Alex,5/18/15,3,60,280,NA,NA,Y,Y,25,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2015,2015-C,Jessica & Allie (?),8/2/15,2,60,260,NA,NA,Y,Y,25,25,Peromyscus,californicus,55,10,45,NA,NA,F,NA,142,NA,25,18,NA,NA,NA,NA,Y,Y,NA,NA,NA,NA
summer,2015,2015-C,Allie & Kat,8/3/15,3,80,280,NA,NA,Y,Y,25,25,Peromyscus,californicus,NA,NA,NA,adult,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2015,2015-D,"Vanessa, Jessica, Savannah",11/7/15,1,60,260,NA,NA,Y,Y,25,25,Peromyscus,NA,57,9,48,adult,NA,F,84,147,NA,28,17,0,N,0,0,NA,NA,NA,NA,NA,Y; NIPPLES? ADULT?
fall,2015,2015-D,Allie & Natalie,11/8/15,2,60,260,NA,NA,Y,Y,25,25,Peromyscus,californicus,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y; EAR PUNCH FOR JUSTINE
fall,2015,2015-D,"JAS, & N.N",11/10/15,3,60,280,NA,NA,Y,Y,25,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2009,2009-B,NA,4/29/09,1,100,160,NA,NA,Y,N,1026,1026,Peromyscus,boylii,NA,NA,26,adult,NA,F,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,recapture from March
spring,2010,2010-B,"Kiri, Yasaman, Kathy",5/1/10,3,160,40,NA,NA,Y,Y,26,1026,Peromyscus,truei,26,NA,NA,NA,NA,NA,NA,111,NA,22,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2012,2012-A,NA,3/5/12,1,140,120,NA,NA,Y,N,26,2026,Peromyscus,californicus,50,NA,50,adult,NA,M,NA,140,NA,30,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA SHEET
spring,2012,2012-B,Chris & Quin,5/29/12,2,80,80,NA,NA,Y,Y,26,2026,Peromyscus,californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2015,2015-B,"Jordan, Paulina, & Annette",5/17/15,2,20,100,NA,NA,Y,Y,26,26,Peromyscus,truei,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2015,2015-B,Jordan & Alex,5/18/15,3,20,100,NA,NA,Y,Y,26,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Quin,5/29/12,2,160,280,NA,NA,Y,Y,27,27,Peromyscus,californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Quin,5/29/12,2,180,100,NA,NA,Y,N,28,28,Peromyscus,californicus,45,NA,NA,NA,NA,M,NA,140,NA,29,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2012,2012-D,Jessica R. & Justine,11/10/12,1,180,100,NA,NA,Y,Y,28,28,Peromyscus,californicus,48,NA,NA,NA,NA,M,NA,130,NA,27,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2012,2012-D,Jessica & Matt,11/12/12,3,180,120,NA,NA,Y,Y,28,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2013,2013-A,NA,2/9/13,1,180,120,NA,NA,Y,Y,28,28,Peromyscus,californicus,46,NA,46,adult,NA,M,NA,147,NA,25,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
