quarter,year,ID,Collectors,Date,Day_no,x,y,Animal (Y/N),Recap (Y/N),Bait_stolen (Y/N),Tripped_trap (Y/N),Tag #,Genus,Species,Total_weight (g),Bag_weight (g),Animal_weight (g),Life_stage:,Reproductive:,Sex:,body,Tail: (mm),Tuft: (mm),Foot_length (mm),Ear_length (mm),Ticks_total,ticks_yn,ticks_adult,ticks_nymph,ticks_larvae,Hair,fecal,torn_ear,escaped,tissue,Comments,MARK,Deanna comments,,
fall,2010,2010-D,,4-Nov-10,1,60,120,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,,4-Nov-10,1,60,160,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,,4-Nov-10,1,60,180,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,,4-Nov-10,1,60,200,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,,4-Nov-10,1,60,220,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,,4-Nov-10,1,60,240,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Kathlyn Franco,4-Nov-10,1,80,40,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Kathlyn Franco,4-Nov-10,1,80,60,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Kathlyn Franco,4-Nov-10,1,80,80,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Kathlyn Franco,4-Nov-10,1,80,100,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Kathlyn Franco,4-Nov-10,1,80,120,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Kathlyn Franco,4-Nov-10,1,80,140,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Kathlyn Franco,4-Nov-10,1,80,160,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Kathlyn Franco,4-Nov-10,1,80,180,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Kathlyn Franco,4-Nov-10,1,80,200,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Kathlyn Franco,4-Nov-10,1,80,220,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Kathlyn Franco,4-Nov-10,1,80,240,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Kathlyn Franco,4-Nov-10,1,80,260,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,,4-Nov-10,1,100,40,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,,4-Nov-10,1,100,60,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,,4-Nov-10,1,100,80,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,,4-Nov-10,1,100,100,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,,4-Nov-10,1,100,120,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,,4-Nov-10,1,100,140,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,,4-Nov-10,1,100,160,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,,4-Nov-10,1,100,180,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,,4-Nov-10,1,100,200,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,,4-Nov-10,1,100,220,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,,4-Nov-10,1,100,240,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,,4-Nov-10,1,100,260,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Kathlyn Franco,4-Nov-10,1,120,40,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Kathlyn Franco,4-Nov-10,1,120,60,Y,Y,,,228,PE,CA,,,,,,M,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Kathlyn Franco,4-Nov-10,1,120,80,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Kathlyn Franco,4-Nov-10,1,120,120,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Kathlyn Franco,4-Nov-10,1,120,140,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Kathlyn Franco,4-Nov-10,1,120,160,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Kathlyn Franco,4-Nov-10,1,120,180,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Kathlyn Franco,4-Nov-10,1,120,220,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Kathlyn Franco,4-Nov-10,1,120,240,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Graham & Lauren,4-Nov-10,1,140,40,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Graham & Lauren,4-Nov-10,1,140,60,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Graham & Lauren,4-Nov-10,1,140,80,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Graham & Lauren,4-Nov-10,1,140,100,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
