quarter,year,ID,date,day_no,tag_error_flag,tag_id,tag_id_new,date_dist,trap_dist,x,y,animal,recap,genus,species,total_weight,bag_weight,animal_weight,life_stage,reproduction,sex,body_length,tail_length,tuft_length,foot_length,ear_length,comments
summer,2012,2012-C,2012-09-08,3,NA,23,2023,2,40,40,20,Y,Y,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2015,2015-B,2015-05-18,3,NA,23,0023,NA,NA,120,20,Y,N,Peromyscus,truei,28,NA,NA,NA,NA,F,NA,104,NA,22,20,Y; OLD TAG RIPPED OTHER EAR
NA,2015,2015-B,2015-07-17,1,NA,23,0023,60,40,80,20,Y,N,Peromyscus,truei,NA,NA,22,NA,NA,F,NA,110,NA,22,14,Y; *(WEIGHT ON DATA SHEET) NOT INCLUDING BAG WEIGHT)
winter,2012,2012-A,2012-03-05,1,NA,24,1024,NA,NA,100,20,Y,N,Peromyscus,truei,30,NA,30,adult,NA,M,NA,95,NA,25,18,MISSING DATA SHEET
winter,2012,2012-A,2012-03-06,2,NA,24,1024,1,0,100,20,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2012,2012-A,2012-03-07,3,NA,24,1024,1,0,100,20,Y,Y,Peromyscus,truei,22,NA,NA,NA,NA,M,NA,NA,NA,NA,NA,NA
winter,2012,2012-A,2012-03-08,4,NA,24,1024,1,0,100,20,Y,Y,Peromyscus,truei,22,NA,NA,NA,NA,M,NA,NA,NA,NA,NA,NA
fall,2014,2014-D,2014-11-16,3,NA,24,0024,NA,NA,160,100,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2011,2011-D,2011-11-09,3,NA,25,1025,NA,NA,120,20,Y,N,NA,NA,25,NA,NA,NA,NA,F,NA,80,NA,21,17,Y; TOOK FROM 140-20; SET NEW TRAP (WASN'T ON THERE); JUVEILE?
winter,2012,2012-A,2012-03-06,2,NA,25,1025,118,60,60,20,Y,Y,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,2012-05-28,1,NA,25,1025,83,20,40,20,Y,Y,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,2012-05-30,3,NA,25,1025,2,20,60,20,Y,Y,Peromyscus,truei,22,10,12,NA,NA,F,NA,NA,NA,NA,NA,NA
spring,2015,2015-B,2015-05-16,1,NA,25,0025,NA,NA,40,280,Y,N,Peromyscus,californicus,55,10,45,NA,NA,M,NA,151,NA,27,21,NA
spring,2015,2015-B,2015-05-18,3,NA,25,0025,2,20,60,280,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2015,2015-C,2015-08-02,2,NA,25,0025,76,20,60,260,Y,Y,Peromyscus,californicus,55,10,45,NA,NA,F,NA,142,NA,25,18,NA
summer,2015,2015-C,2015-08-03,3,NA,25,0025,1,28.284271247461902,80,280,Y,Y,Peromyscus,californicus,NA,NA,NA,adult,NA,F,NA,NA,NA,NA,NA,NA
fall,2015,2015-D,2015-11-07,1,NA,25,0025,96,28.284271247461902,60,260,Y,Y,Peromyscus,NA,57,9,48,adult,NA,F,84,147,NA,28,17,Y; NIPPLES? ADULT?
fall,2015,2015-D,2015-11-08,2,NA,25,0025,1,0,60,260,Y,Y,Peromyscus,californicus,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,Y; EAR PUNCH FOR JUSTINE
fall,2015,2015-D,2015-11-10,3,NA,25,0025,2,20,60,280,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2009,2009-B,2009-04-29,1,NA,1026,1026,NA,NA,100,160,Y,N,Peromyscus,truei,NA,NA,26,adult,NA,F,NA,NA,NA,NA,NA,recapture from March
spring,2010,2010-B,2010-05-01,3,trap distance large,26,1026,367,134.16407864998737,160,40,Y,Y,Peromyscus,truei,26,NA,NA,NA,NA,NA,NA,111,NA,22,20,NA
winter,2012,2012-A,2012-03-05,1,NA,26,2026,NA,NA,140,120,Y,N,Peromyscus,californicus,50,NA,50,adult,NA,M,NA,140,NA,30,15,MISSING DATA SHEET
spring,2012,2012-B,2012-05-29,2,trap distance large,26,2026,85,72.11102550927978,80,80,Y,Y,Peromyscus,californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2015,2015-B,2015-05-17,2,NA,26,0026,NA,NA,20,100,Y,Y,Peromyscus,truei,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2015,2015-B,2015-05-18,3,NA,26,0026,1,0,20,100,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,2012-05-29,2,NA,27,0027,NA,NA,160,280,Y,Y,Peromyscus,californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,2012-05-29,2,NA,28,0028,NA,NA,180,100,Y,N,Peromyscus,californicus,45,NA,NA,NA,NA,M,NA,140,NA,29,20,NA
fall,2012,2012-D,2012-11-10,1,NA,28,0028,165,0,180,100,Y,Y,Peromyscus,californicus,48,NA,NA,NA,NA,M,NA,130,NA,27,24,NA
fall,2012,2012-D,2012-11-12,3,NA,28,0028,2,20,180,120,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2013,2013-A,2013-02-09,1,NA,28,0028,89,0,180,120,Y,Y,Peromyscus,californicus,46,NA,46,adult,NA,M,NA,147,NA,25,19,NA
winter,2013,2013-A,2013-02-10,2,NA,28,0028,1,0,180,120,Y,Y,NA,NA,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA
winter,2013,2013-A,2013-02-11,3,NA,28,0028,1,0,180,120,Y,Y,Peromyscus,californicus,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,2012-05-28,1,NA,29,0029,NA,NA,160,280,Y,N,Peromyscus,californicus,47,NA,NA,NA,NA,M,NA,120,NA,26,25,NA
summer,2012,2012-C,2012-09-07,2,NA,29,0029,102,0,160,280,Y,Y,Peromyscus,californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2013,2013-A,2013-02-09,1,NA,29,0029,155,20,180,280,Y,Y,Peromyscus,californicus,47,NA,47,adult,NA,M,NA,145,NA,27,23,NA
winter,2013,2013-A,2013-02-10,2,NA,29,0029,1,20,160,280,Y,Y,NA,NA,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA
winter,2013,2013-A,2013-02-11,3,NA,29,0029,1,20,180,280,Y,Y,Peromyscus,californicus,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,2012-05-28,1,NA,30,1030,NA,NA,180,80,Y,N,Peromyscus,californicus,50,NA,NA,NA,NA,F,NA,130,NA,26,21,NA
spring,2012,2012-B,2012-05-30,3,NA,30,1030,2,20,160,80,Y,Y,Peromyscus,californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,2012-09-07,2,NA,30,1030,100,28.284271247461902,180,100,Y,Y,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2012,2012-D,2012-11-12,3,NA,30,1030,66,28.284271247461902,160,80,Y,Y,Peromyscus,californicus,70,10,60,NA,NA,M,NA,130,NA,25,21,NA
winter,2013,2013-A,2013-02-09,1,NA,30,1030,89,20,180,80,Y,Y,Peromyscus,californicus,47,NA,47,adult,NA,NA,NA,137,NA,28,22,SEX UNCERTAIN
winter,2013,2013-A,2013-02-10,2,NA,30,1030,1,0,180,80,Y,Y,NA,NA,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA
winter,2013,2013-A,2013-02-11,3,NA,30,1030,1,0,180,80,Y,Y,Peromyscus,californicus,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA
spring,2013,2013-B,2013-05-18,1,NA,30,1030,96,44.721359549995796,140,100,Y,Y,Peromyscus,californicus,63,13,50,NA,NA,M,NA,124,NA,27,20,NA
spring,2013,2013-B,2013-05-19,2,NA,30,1030,1,40,180,100,Y,Y,Peromyscus,californicus,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
