quarter,year,ID,collectors,date,day_no,x,y,trap_malfunction,trap_malfunction_reason,animal,recap,tag_id,genus,species,species_together,total_weight,bag_weight,animal_weight,life_stage,reproduction,sex,body_length,tail_length,tuft_length,foot_length,ear_length,ticks_total,ticks_yn,ticks_adult,ticks_larvae,hair,fecal,torn_ear,escaped,tissue,comments
spring,2012,2012-B,Chris & Quin,2012-05-29,2,120,100,NA,NA,Y,N,0016,Peromyscus,californicus,Peromyscus californicus,40,NA,NA,NA,NA,M,NA,120,NA,25,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Tyler,2012-05-30,3,20,80,NA,NA,Y,Y,0016,NA,NA,NA,40,NA,NA,NA,NA,M,NA,90,NA,18,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Quin,2012-05-28,1,180,240,NA,NA,Y,Y,0017,Peromyscus,truei,Peromyscus truei,32,NA,NA,NA,NA,M,NA,95,NA,20,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Sam,2012-05-30,3,180,240,NA,NA,Y,Y,0017,Peromyscus,truei,Peromyscus truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,Chris Lay & Alex Jones,2012-09-07,2,120,180,NA,NA,Y,N,0018,Peromyscus,truei,Peromyscus truei,22,8,14,NA,NA,F,NA,83,NA,22,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2012,2012-D,"V. Williams, J. Johnson, J. Smith",2012-11-12,3,60,260,NA,NA,Y,Y,0018,Peromyscus,truei,Peromyscus truei,20,NA,NA,NA,NA,M,NA,92,NA,22,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; DEAD
spring,2012,2012-B,Tyler,2012-05-30,3,40,140,NA,NA,Y,Y,0019,NA,NA,NA,35,NA,NA,NA,NA,M,NA,90,NA,18,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,J. Smith,2012-09-07,2,180,120,NA,NA,Y,Y,0020,Peromyscus,truei,Peromyscus truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,"Rachel, Meredith, Soren",2012-09-08,3,20,20,NA,NA,Y,N,0020,Peromyscus,californicus,Peromyscus californicus,50,10,40,NA,NA,NA,NA,140,NA,26,22,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA
winter,2012,2012-A,NA,2012-03-05,1,180,280,NA,NA,Y,N,0021,Peromyscus,boylii,Peromyscus boylii,25,NA,25,adult,NA,F,NA,100,NA,23,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA SHEET
fall,2010,2010-D,Eli & Brendon,2010-11-06,3,120,100,NA,NA,Y,Y,1022,Peromyscus,californicus,Peromyscus californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Quin,2012-05-28,1,20,20,NA,NA,Y,N,0022,Peromyscus,truei,Peromyscus truei,15,NA,NA,NA,NA,M,NA,90,NA,23,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2015,2015-B,Tony K & Tina C,2015-05-18,3,180,20,NA,NA,Y,NA,0022,Peromyscus,truei,Peromyscus truei,36,9,27,NA,NA,M,NA,111,NA,22,18,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA
spring,2009,2009-B,NA,2009-04-29,1,40,120,NA,NA,Y,N,1023,Peromyscus,californicus,NA,NA,NA,46,adult,NA,F,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA
spring,2009,2009-B,NA,2009-04-30,2,20,140,NA,NA,Y,Y,1023,Peromyscus,californicus,NA,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA
