tag,stemtag,SOD2017,Status2017,Date,notes
974,1,4,A,3/7/17,
976,1,3,A-R,3/7/17,
973,1,1,A,3/7/17,
971,1,1,A,3/7/17,
972,1,1,A,3/7/17,
972,2,1,A,3/7/17,
975,1,0,A,3/7/17,
978,1,0,A,3/7/17,
991,1,0,A,3/7/17,
995,1,0,A-R,3/7/17,
1000,1,0,A,3/7/17,
994,1,0,A,3/7/17,
1061,1,2,A,3/7/17,
988,1,1,A,3/7/17,
8429,1,1,A,3/7/17,
1059,1,3,A,3/7/17,
998,1,2,A,3/7/17,
997,1,0,A,3/7/17,
996,1,2,A-R,3/7/17,
8555,1,1,A-R,3/7/17,
999,1,,,3/7/17,couldn't find
8557,1,0,A,3/7/17,
961,1,0,A,3/7/17,
8558,1,1,A-R,3/7/17,
8474,1,1,A,3/7/17,
8556,1,1,A,3/7/17,
8554,1,1,A,3/7/17,
958,1,0,A,3/7/17,
1054,1,5,DS,3/7/17,
1041,1,1,A,3/7/17,
954,1,5,DS,3/7/17,
1039,1,3,A,3/7/17,
8562,1,,,3/7/17,couldn't find
1051,1,0,A,3/7/17,
1048,1,0,A,3/7/17,
1040,1,1,A,3/7/17,
1052,1,0,A,3/7/17,
1014,1,5,DS,3/7/17,
1014,2,5,DS,3/7/17,
1014,3,5,DS,3/7/17,
1014,4,5,DS,3/7/17,
8561,1,5,DS-R,3/7/17,
1012,1,-99,DC-Q,3/7/17,
1023,1,0,A,3/7/17,
1023,2,0,A,3/7/17,
1023,3,0,A,3/7/17,
1023,4,0,A,3/7/17,
1023,5,1,A,3/7/17,
1023,6,1,A,3/7/17,
1023,7,0,A,3/7/17,
1003,1,5,DS,3/7/17,
1033,1,,,3/7/17,Not LITHDE
1032,1,0,A,3/7/17,
1159,1,5,DS,3/11/17,
8566,1,1,A,3/11/17,
1165,1,2,A,3/11/17,
8486,1,0,A,3/11/17,
1200,1,0,A,3/11/17,
1446,1,-99,DC-B,3/11/17,couldn't find
1182,1,1,A,3/11/17,
8479,1,2,A,3/11/17,
8478,1,1,A-R,3/11/17,
1232,1,-99,DC-Q,3/11/17,
1358,1,0,A,3/11/17,
1441,1,-99,DC-Q,3/11/17,couldn't find
8490,1,0,A,3/11/17,
8705,1,-99,DC-Q,3/11/17,couldn't find
1442,1,-99,DC-Q,3/11/17,couldn't find
8492,1,0,A,3/11/17,
8488,1,1,A,3/11/17,
8706,1,-99,DC-Q,3/11/17,couldn't find
9381,1,0,A,3/11/17,
1379,1,0,A,3/11/17,
1354,1,0,A,3/11/17,
8489,1,1,A,3/11/17,
1384,1,0,A,3/11/17,
1350,1,0,A,3/11/17,
1351,1,0,A,3/11/17,
1373,1,0,A,3/11/17,
1373,2,0,A,3/11/17,
1371,1,1,A,3/11/17,
1348,1,0,A,3/11/17,
8432,1,1,A,3/14/17,
1447,1,0,A,3/14/17,
1447,2,0,A,3/14/17,
1449,1,0,A,3/14/17,
1448,1,0,A,3/14/17,
1443,1,0,A,3/14/17,
1588,1,0,A,3/14/17,
8703,1,0,A,3/14/17,
8702,1,-99,DC-R,3/14/17,
8701,1,0,A,3/14/17,
1412,1,0,A,3/14/17,
8498,1,0,A,3/14/17,
1353,1,-99,DC-Q,3/11/17,
1405,1,2,A,3/11/17,
9380,1,0,A,3/14/17,
1598,1,,,,missing data
1610,1,,,,missing data
1610,2,,,,missing data
1596,1,,,,missing data
1596,2,,,,missing data
1609,1,,,,missing data
1605,1,,,,missing data
1608,1,,,,missing data
1595,1,,,,missing data
1587,1,0,A,3/14/17,
1624,1,,,,missing data
1623,1,,,,missing data
8717,1,,,,missing data
1616,1,,,,missing data
1615,1,,,,missing data
1613,1,,,,missing data
8709,1,,,,missing data
1625,1,,,,missing data
1585,1,1,A,3/14/17,
1617,1,,,,missing data
8792,1,,,,missing data
1583,1,3,A,3/14/17,
1578,1,0,A,3/14/17,
1579,1,0,A,3/14/17,
1627,1,,,,missing data
8710,1,,,,missing data
1628,1,,,,missing data
1630,1,,,,missing data
1577,1,1,A,3/14/17,
1576,1,-99,DC-Q,3/14/17,
1629,1,,,,missing data
1574,1,0,A,3/14/17,
1574,2,4,A,3/14/17,
1574,3,0,A,3/14/17,
1574,4,1,A,3/14/17,
1562,1,0,A-Q,3/14/17,
1575,1,1,A,3/14/17,
8707,1,,,,missing data
1573,1,1,A,3/14/17,
1572,1,0,A,3/14/17,
1568,1,1,A,3/14/17,
1567,1,0,A,3/14/17,
1569,1,1,A,3/14/17,
1649,1,,,,missing data
1649,2,,,,missing data
1653,1,,,,missing data
1655,1,,,,missing data
1656,1,,,,missing data
1648,1,,,,missing data
1672,1,,,,missing data
1673,1,,,,missing data
8728,1,,,,missing data
1647,1,,,,missing data
8716,1,,,,missing data
8713,1,,,,missing data
1644,1,,,,missing data
1643,1,,,,missing data
1643,3,,,,missing data
1670,1,,,,missing data
1646,1,,,,missing data
1646,2,,,,missing data
1642,1,,,,missing data
1634,1,,,,missing data
1677,1,,,,missing data
1676,1,,,,missing data
1635,1,,,,missing data
1641,1,,,,missing data
1640,1,,,,missing data
1632,1,,,,missing data
1633,1,,,,missing data
1636,1,,,,missing data
1638,1,,,,missing data
1710,1,,,,missing data
1639,1,,,,missing data
1544,1,,,,missing data
8711,1,,,,missing data
8711,2,,,,missing data
1678,1,,,,missing data
1802,1,,,,missing data
